# stan_version_major = 2
# stan_version_minor = 27
# stan_version_patch = 0
# model = test_model
# start_datetime = 2021-06-14 13:33:58 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = ../cmdstan/myTest/test.data.json
# init = 2 (Default)
# random
#   seed = 300164798 (Default)
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = %%NAME%%3 %%VERSION%%
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta,r,z
# Adaptation terminated
# Step size = 0.937857
# Diagonal elements of inverse mass matrix:
# 0.440738
-7.38903,0.865348,0.937857,1,3,0,7.65753,0.405605,1,nan
-8.45202,0.737428,0.937857,1,1,0,8.49428,0.510947,1,nan
-7.91741,1,0.937857,1,1,0,8.52367,0.464117,1,nan
-6.74914,1,0.937857,1,3,0,7.88204,0.255941,1,nan
-6.8001,0.985672,0.937857,1,3,0,6.83327,0.211176,1,nan
-6.82744,0.928992,0.937857,2,3,0,7.38007,0.202519,1,nan
-6.9154,0.98407,0.937857,1,1,0,6.91649,0.182714,1,nan
-9.30486,0.642885,0.937857,1,3,0,10.4147,0.0529499,1,nan
-10.0707,0.960733,0.937857,1,1,0,10.1114,0.0392961,1,nan
-8.91056,1,0.937857,1,1,0,10.0023,0.0621898,1,nan
-8.3344,1,0.937857,1,1,0,8.9025,0.0797558,1,nan
-6.74853,0.962819,0.937857,1,3,0,9.04709,0.246017,1,nan
-6.74833,0.923312,0.937857,2,3,0,7.33544,0.253096,1,nan
-6.77538,0.994204,0.937857,1,3,0,6.78132,0.279969,1,nan
-7.0285,0.942331,0.937857,2,3,0,7.22023,0.350375,1,nan
-7.17539,0.96134,0.937857,1,1,0,7.21873,0.375447,1,nan
-6.86748,0.923597,0.937857,1,3,0,7.67523,0.192456,1,nan
-6.90862,0.992704,0.937857,1,1,0,6.92103,0.183982,1,nan
-6.94406,0.993908,0.937857,1,1,0,6.9644,0.17766,1,nan
-6.74821,0.960706,0.937857,2,3,0,7.3123,0.247597,1,nan
-6.77209,0.997029,0.937857,2,3,0,6.77418,0.278069,1,nan
-6.79618,0.998111,0.937857,2,3,0,6.79769,0.290063,1,nan
-6.74854,0.999425,0.937857,1,3,0,6.79585,0.254029,1,nan
-7.73296,0.86292,0.937857,2,3,0,7.74139,0.106464,1,nan
-6.84327,0.976152,0.937857,1,3,0,7.77626,0.198259,1,nan
-6.78302,0.986457,0.937857,1,3,0,6.98266,0.284001,1,nan
-6.87564,0.992623,0.937857,2,3,0,6.87564,0.316389,1,nan
-6.86681,0.964687,0.937857,2,3,0,7.15926,0.313951,1,nan
-6.86681,0.548934,0.937857,1,3,0,9.55018,0.313951,1,nan
-6.86681,0.877479,0.937857,1,3,0,7.57431,0.313951,1,nan
-6.96091,0.992111,0.937857,2,3,0,6.97324,0.336802,1,nan
-6.87837,1,0.937857,1,1,0,6.95615,0.317124,1,nan
-7.03005,0.96173,0.937857,1,1,0,7.03899,0.350669,1,nan
-7.28286,0.933956,0.937857,1,1,0,7.3136,0.391321,1,nan
-7.09811,1,0.937857,1,1,0,7.28802,0.362861,1,nan
-6.85833,1,0.937857,1,1,0,7.0379,0.311529,1,nan
-7.09186,0.941812,0.937857,1,1,0,7.09341,0.361789,1,nan
-7.37306,0.925914,0.937857,1,1,0,7.41498,0.403531,1,nan
-7.37306,0.742322,0.937857,1,1,0,8.15672,0.403531,1,nan
-6.78498,0.958328,0.937857,1,3,0,7.64255,0.217083,1,nan
-7.22059,0.961767,0.937857,2,3,0,7.23515,0.382325,1,nan
-8.24173,0.749037,0.937857,1,1,0,8.25807,0.493582,1,nan
-6.86122,0.911322,0.937857,1,3,0,8.93746,0.193886,1,nan
-6.99713,0.976466,0.937857,1,1,0,6.99777,0.169373,1,nan
-7.154,0.975614,0.937857,1,1,0,7.16401,0.150003,1,nan
-6.83381,0.955686,0.937857,1,3,0,7.61979,0.303992,1,nan
-7.54282,0.72911,0.937857,1,3,0,8.53451,0.117899,1,nan
-6.76133,0.986022,0.937857,1,3,0,7.69463,0.229989,1,nan
-7.24403,0.827896,0.937857,2,3,0,8.00815,0.141077,1,nan
-6.75187,1,0.937857,2,3,0,7.17643,0.239144,1,nan
-7.06373,0.928519,0.937857,1,3,0,7.19564,0.356853,1,nan
-7.12737,0.983052,0.937857,1,1,0,7.19365,0.367763,1,nan
-7.48078,0.907043,0.937857,1,1,0,7.5233,0.41708,1,nan
-7.33036,1,0.937857,1,1,0,7.56172,0.397861,1,nan
-7.29398,1,0.937857,1,1,0,7.45486,0.392876,1,nan
-9.443,0.54072,0.937857,1,1,0,9.44311,0.58008,1,nan
-8.19825,1,0.937857,2,3,0,9.29376,0.489835,1,nan
-7.19585,1,0.937857,2,3,0,7.92901,0.3786,1,nan
-6.74814,0.994012,0.937857,1,3,0,7.22622,0.24811,1,nan
-6.74895,0.94783,0.937857,2,3,0,7.13515,0.255398,1,nan
-6.84978,0.972891,0.937857,1,3,0,6.90849,0.196625,1,nan
-7.46707,0.795661,0.937857,2,3,0,8.57551,0.123062,1,nan
-6.75937,1,0.937857,2,3,0,7.37236,0.231494,1,nan
-6.7621,0.999435,0.937857,1,1,0,6.76379,0.229423,1,nan
-6.7621,0.732188,0.937857,1,3,0,8.42524,0.229423,1,nan
-10.4757,0.612235,0.937857,2,7,0,10.4978,0.0337447,1,nan
-11.1332,0.977611,0.937857,1,1,0,11.2278,0.0265031,1,nan
